;Name;Products;PT;PS;PM;TM;SM;Machines;Connections;AC;States;Transitions;A* Expansions;A* Steps;A* Time (s);A* Cost;Dijkstra Expansions;Dijkstra Steps;Dijkstra Time (s);Dijkstra Cost;NSGA2 Steps;NSGA2 Trials;NSGA2 Time (s);NSGA2 Time per Trial (s);NSGA2 Cost;NSGA2 - A* Cost;NSGA2 / A* Cost;RL DQN Steps;RL DQN Time (s);RL DQN Cost;RL DQN - A* Cost;RL DQN / A* Cost
0;3 Tasks;1;3;6;6;1;1;8;42;48;56;356;30;7;0.10567975044250488;0.6579984077349457;41;7;0.1185750961303711;0.6579984077349457;7;3;265.63322710990906;88.54440903663635;0.6579984077349459;2.220446049250313e-16;1.0000000000000004;7;63.148749589920044;0.6707484229183821;0.012750015183436436;1.0193769696606505
1;4 Tasks;1;4;6;6;1;1;8;42;50;112;728;55;8;0.1627211570739746;0.6124303469406609;83;8;0.2372884750366211;0.6124303469406609;8;3;284.76017451286316;94.92005817095439;0.612430346940661;1.1102230246251565e-16;1.0000000000000002;8;96.02882194519043;0.6237551382727715;0.011324791332110618;1.0184915580827805
2;5 Tasks;1;5;6;6;1;1;8;42;52;224;1488;95;9;0.29169225692749023;0.5875985074675898;167;9;0.49545979499816895;0.5875985074675898;10;3;308.21094012260437;102.73698004086812;0.5925366402350154;0.004938132767425607;1.0084039232650672;9;127.848797082901;0.59172893906192;0.004130431594330242;1.0070293432366455
3;6 Tasks;1;6;6;6;1;1;8;42;54;448;3040;123;10;0.3838164806365967;0.5660408898682372;335;10;0.9773726463317871;0.5660408898682372;10;3;322.12222051620483;107.37407350540161;0.5660408898682372;0.0;1.0;10;153.24713706970215;0.5673143717973623;0.001273481929125131;1.002249805538645
4;7 Tasks;1;7;6;6;1;1;8;42;56;896;6208;223;11;0.7219626903533936;0.5435528400647371;671;11;2.0717806816101074;0.5435528400647371;11;3;349.0588538646698;116.35295128822327;0.5507452867751212;0.007192446710384104;1.0132322861371261;11;178.23118710517883;0.5447368850687899;0.0011840450040527806;1.0021783438826513
5;8 Tasks;1;8;6;6;1;1;8;42;58;1792;12672;379;12;1.216886043548584;0.5366546914670867;1343;12;4.1450746059417725;0.5366546914670867;12;3;373.9145529270172;124.63818430900574;0.5509569182203011;0.014302226753214464;1.0266507066473518;12;204.48630380630493;0.5366546914670867;0.0;1.0
6;9 Tasks;1;9;6;6;1;1;8;42;60;3584;25856;493;13;1.5709092617034912;0.5259427022991081;2687;13;8.123160123825073;0.525942702299108;15;3;392.9008204936981;130.96694016456604;0.5623364590397395;0.03639375674063139;1.069197189316516;14;224.04760909080505;0.5423010794350017;0.01635837713589361;1.031102964380691
7;10 Tasks;1;10;6;6;1;1;8;42;62;7168;52736;893;14;3.0280957221984863;0.5114943696498997;5375;14;16.502270221710205;0.5114943696498997;16;3;401.2828607559204;133.7609535853068;0.5359379900124197;0.024443620362520013;1.0477886401354737;15;250.6723780632019;0.5257341003426594;0.014239730692759744;1.0278394671333457
8;11 Tasks;1;11;6;6;1;1;8;42;64;14336;107520;1511;15;5.011948823928833;0.5098584624183046;10751;15;33.451298236846924;0.5098584624183045;16;3;433.1425094604492;144.3808364868164;0.5243911989167566;0.014532736498451992;1.0285034721783806;15;275.0299754142761;0.5221738064736884;0.012315344055383814;1.024154436894057
9;12 Tasks;1;12;6;6;1;1;8;42;66;28672;219136;1983;16;6.9320526123046875;0.503467684295557;21503;16;67.82968521118164;0.503467684295557;19;3;463.80952548980713;154.60317516326904;0.5486560930000646;0.04518840870450758;1.0897543379923866;16;309.43303871154785;0.5078007522877102;0.004333067992153161;1.0086064471013982
